CodMun,area_territorial
1100015,"7067,127"
1100023,"4426,571"
1100031,"1314,352"
1100049,3793
1100056,"2783,3"
1100064,"1451,06"
1100072,"3060,321"
1100080,"4987,177"
1100106,"24856,877"
1100114,"2944,128"
1100122,"6896,649"
1100130,"8509,27"
1100148,"1703,008"
1100098,"4518,038"
1100155,"1969,85"
1100189,"6241,016"
1100205,"34090,952"
1100254,"1758,465"
1100262,"1717,64"
1100288,"1457,811"
1100296,"1197,796"
1100304,"11699,15"
1100320,"7460,117"
1100338,"10070,49"
1100346,"3029,189"
1100379,"3958,273"
1100403,"2651,822"
1100452,"3265,809"
1100502,"843,446"
1100601,"1961,778"
1100700,"3442,005"
1100809,"6843,868"
1100908,"892,841"
1100924,"5126,723"
1100940,"3863,946"
1101005,"5067,384"
1101104,"4081,58"
1101203,"798,083"
1101302,"1191,875"
1101401,"1931,378"
1101435,"807,125"
1101450,"2548,683"
1101468,"6014,733"
1101476,"605,692"
1101484,"541,647"
1101492,"10959,767"
1101500,"3773,505"
1101559,"459,978"
1101609,"2197,413"
1101708,"831,857"
1101757,"3135,106"
1101807,"965,676"
1200013,"1811,613"
1200054,"4979,073"
1200104,"3928,174"
1200138,"3034,869"
1200179,"1705,824"
1200203,"8783,47"
1200252,"1652,674"
1200302,"27976,874"
1200328,"5357,227"
1200336,"5451,617"
1200344,"10630,6"
1200351,"8190,953"
1200385,"1952,555"
1200393,"6446,385"
1200401,"8835,154"
1200427,"3076,342"
1200435,"6155,858"
1200450,"2320,169"
1200500,"23759,512"
1200609,"20169,485"
1200708,"5350,586"
1200807,"2604,417"
1300029,"5923,461"
1300060,"4754,109"
1300086,"2446,121"
1300102,"6036,38"
1300144,"54240,545"
1300201,"76435,093"
1300300,"7652,852"
1300409,"122461,086"
1300508,"5751,765"
1300607,"8695,391"
1300631,"17472,779"
1300680,"2589,407"
1300706,"21938,583"
1300805,"44236,184"
1300839,"9455,539"
1300904,"33642,732"
1301001,"25778,658"
1301100,"6096,21"
1301159,"2627,474"
1301209,"57970,768"
1301308,"18700,713"
1301407,"14966,242"
1301506,"7505,794"
1301605,"12155,427"
1301654,"7583,534"
1301704,"33111,143"
1301803,"12109,779"
1301852,"2216,817"
1301902,"8891,906"
1301951,"25260,429"
1302009,"4335,075"
1302108,"55827,203"
1302207,"19442,548"
1302306,"69457,415"
1302405,"68262,68"
1302504,"7336,579"
1302553,"3973,259"
1302603,"11401,092"
1302702,"48315,023"
1302801,"16830,827"
1302900,"39991,066"
1303007,"14107,04"
1303106,"5578,132"
1303205,"37776,77"
1303304,"41179,656"
1303403,"5956,047"
1303502,"41624,664"
1303536,"25459,099"
1303569,"5815,622"
1303601,"62800,078"
1303700,"12366,143"
1303809,"109181,245"
1303908,"19658,502"
1303957,"10647,463"
1304005,"3723,382"
1304062,"3266,062"
1304104,"84946,035"
1304203,"23692,223"
1304237,"6446,894"
1304260,"10274,677"
1304302,"27901,962"
1304401,"2886,494"
1400027,"28473,45"
1400050,"25454,297"
1400100,"5687,037"
1400159,"8079,914"
1400175,"7664,831"
1400209,"47379,903"
1400233,"12065,896"
1400282,"14011,695"
1400308,"12337,851"
1400407,"6959,868"
1400456,"8025,045"
1400472,"33579,739"
1400506,"4284,505"
1400605,"1526,898"
1400704,"8113,598"
1500107,"1610,654"
1500131,"614,131"
1500206,"4344,384"
1500305,"8338,438"
1500347,"7113,955"
1500404,"23645,452"
1500503,"72954,798"
1500602,"159533,306"
1500701,"6913,64"
1500800,"190,581"
1500859,"11895,27"
1500909,"1099,619"
1500958,"1811,84"
1501006,"17074,053"
1501105,"4397,321"
1501204,"3759,834"
1501253,"2956,649"
1501303,"1310,338"
1501402,"1059,466"
1501451,"4398,418"
1501501,"187,826"
1501576,"2816,604"
1501600,"586,976"
