"","REGIAO","uf","cod_uf","nome_muni","cod_muni_1","CodMun","tarifa_zero","renda_percapta_media","Pib_Municipal_2018","pct_pobres","ocup_desl","taxa_atividade_18_anos_ou_mais","classe_pop","prosperidade_social","pop_urbana","area_territorial","densidade_demografica","pop_rural","taxa_urbanizacao","pct_domicilios_agua_esgosto_sanitario_inadequado","pct_pop_domicilios_urbanos_sem_coleta_lixo","pop_vulneravel_retorna_diariamente_trabalho","pct_formalizacao_18_ou_mais","pop_estimada_2019","pop_total_2010","indice_ivs","ivs_infra_urbana","ivs_capital_humano","ivs_renda_trabalho","indice_theil","indice_gini","idhm","idhm_e","idhm_l","idhm_r","plano_mob","ano_elaboracao","Aprovado em lei ou ato normativo","Instrumento Legal","Nº da Lei","Caracterização do órgão gestor","Escolaridade do(a) titular do órgão gestor","Plano Municipal de Transporte - existência","O município realizou alguma Conferência Municipal de Transporte nos últimos 4 anos","Conselho Municipal de Transporte - existência","Fundo Municipal de Transporte - existência","Transporte coletivo por ônibus intramunicipal","Transporte coletivo por ônibus intermunicipal","Este transporte coletivo atende também ao deslocamento entre bairros, distritos, localidades dentro do município","Serviço prestado diretamente pela prefeitura","Maiores de 60/65 anos","Estudantes da rede pública","Estudantes da rede privada","Carteiros","Pessoas com deficiência","Policiais","Professores","Crianças menores de 5 anos","Toda a população","Nenhum passageiro","Frota de ônibus municipais adaptada para pessoas com deficiência ou mobilidade reduzida","Ciclovia no município","Bicicletário no município","idhm_class","idhm_r_class","idhm_e_class","idhm_l_class","ivs_class","ivs_infra_urbana_class","ivs_renda_trab_class","ivs_cap_class","taxa_pop_vulneravel_retorna_diariamente_trabalho"
"1"," Norte","Rondônia",11,"ALTA FLORESTA D'OESTE",110001,1100015,"não",476.99,21552.47,26.04,1.15,60.43," 20.000 up to 50.000","Médio",13970,7067127,0.00345147327902838,10422,0.572728763529026,9.31,5.95,1252,41.68,22945,24392,0.376,0.306,0.45,0.373,0.6,0.58,0.641,0.526,0.763,0.657,"Nao respondeu",NA,"Nao respondeu","Nao respondeu",NA,"Não possui estrutura","-","Não","Não","Não","Não","Não","Não","-","-","-","-","-","-","-","-","-","-","-","-","-","Não","Não","Medium","Medium","Low","High","Medium","Medium","Medium","High",0.054565264763565
"2"," Norte","Rondônia",11,"ARIQUEMES",110002,1100023,"não",689.95,23206.36,11.54,0.16,71.08," 100.000 up to 500.000","Muito Alto",76525,4426571,0.0204115103993588,13828,0.846955828804799,11.4,3.28,3532,52.81,107863,90353,0.268,0.149,0.384,0.271,0.51,0.53,0.702,0.6,0.806,0.716,"Sim",2016,"Sim","Lei Ordinaria","2.029/2016","Não possui estrutura","-","Não","Não","Sim","Não","Não","Sim","Não","-","-","-","-","-","-","-","-","-","-","-","-","Sim","Sim","High","High","Medium","Very High","Low","Very Low","Low","Medium",0.032745241649129
"3"," Norte","Rondônia",11,"CABIXI",110003,1100031,"não",457.17,25837.12,21.2,0.65,61.5," 5.000 up to 10.000","Médio",2693,1314352,0.00480312732053514,3620,0.426580072865516,3.31,0.86,415,39.38,5312,6313,0.3,0.128,0.389,0.383,0.44,0.51,0.65,0.559,0.757,0.65,"Nao foi enviado oficio",NA,"Nao foi enviado oficio","Nao foi enviado oficio",NA,"Não possui estrutura","-","Não","Não","Não","Não","Não","Sim","Não","-","-","-","-","-","-","-","-","-","-","-","-","Não","Não","Medium","Medium","Low","High","Low","Very Low","Medium","Medium",0.078125
"4"," Norte","Rondônia",11,"CACOAL",110004,1100049,"não",738.06,25708.96,13.08,0.43,68.65," 50.000 up to 100.000","Muito Alto",61921,3793,20.7155286053256,16653,0.788059663501922,1.85,1.83,4205,55.07,85359,78574,0.255,0.111,0.329,0.324,0.61,0.57,0.718,0.62,0.821,0.727,"Sim",2018,"Sim","Lei Complementar","4.117/2018","Secretaria em conjunto com outras políticas setoriais","Especialização","Sim","Sim","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Não","Não","Não","Não","Sim","Não","Não","Não","Parcialmente adaptada","Sim","Não","High","High","Medium","Very High","Low","Very Low","Medium","Medium",0.0492625265056995
"5"," Norte","Rondônia",11,"CEREJEIRAS",110005,1100056,"não",577.18,28714.35,13.7,0.38,69," 10.000 up to 20.000","Alto",14419,27833,0.61182768655912,2610,0.846732045334429,5.34,8.11,1258,45.54,16323,17029,0.28,0.144,0.365,0.33,0.46,0.5,0.692,0.602,0.799,0.688,"Nao foi enviado oficio",NA,"Nao foi enviado oficio","Nao foi enviado oficio",NA,"Não possui estrutura","-","Não","Não","Não","Não","Não","Sim","Não","-","-","-","-","-","-","-","-","-","-","-","-","Não","Não","Medium","Medium","Medium","High","Low","Very Low","Medium","Medium",0.0770691662071923
"6"," Norte","Rondônia",11,"COLORADO DO OESTE",110006,1100064,"não",535.41,20362.88,15.76,0.25,63.55," 10.000 up to 20.000","Alto",13657,145106,0.128120132868386,4934,0.734602764778656,2.99,7.21,939,48.57,15882,18591,0.28,0.114,0.394,0.333,0.45,0.49,0.685,0.584,0.814,0.676,"Nao respondeu",NA,"Nao respondeu","Nao respondeu",NA,"Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Recusa","Medium","Medium","Low","Very High","Low","Very Low","Medium","Medium",0.0591235360785795
"7"," Norte","Rondônia",11,"CORUMBIARA",110007,1100072,"não",402.15,42371.91,24.02,0.69,66.17," 5.000 up to 10.000","Médio",2590,3060321,0.00286996037343795,6193,0.294887851531367,6.31,9.81,645,43.3,7391,8783,0.336,0.201,0.427,0.381,0.43,0.48,0.613,0.473,0.774,0.63,"Nao foi enviado oficio",NA,"Nao foi enviado oficio","Nao foi enviado oficio",NA,"Não possui estrutura","-","Não","Não","Não","Não","Não","Sim","Sim","-","-","-","-","-","-","-","-","-","-","-","-","Não","Não","Medium","Medium","Very Low","High","Medium","Low","Medium","High",0.0872682992829116
"8"," Norte","Rondônia",11,"COSTA MARQUES",110008,1100080,"não",370.77,12890.7,30.48,1.33,68.82," 10.000 up to 20.000","Baixo",7497,4987177,0.00274263375853714,6181,0.548106448311157,36.41,20.65,1245,35.98,18331,13678,0.493,0.536,0.518,0.426,0.48,0.52,0.611,0.493,0.751,0.616,"Nao foi enviado oficio",NA,"Nao foi enviado oficio","Nao foi enviado oficio",NA,"Não possui estrutura","-","Não","Não","Não","Não","Não","Não","-","-","-","-","-","-","-","-","-","-","-","-","-","Não","Não","Medium","Medium","Very Low","High","High","High","High","High",0.0679177349844526
"9"," Norte","Rondônia",11,"ESPIGÃO D'OESTE",110009,1100098,"não",590.8,18984.55,13.86,0.53,70.92," 20.000 up to 50.000","Médio",20610,4518038,0.00635873359188214,8119,0.71739357443698,7.66,8.93,1297,41.78,32374,28729,0.364,0.24,0.449,0.402,0.48,0.52,0.672,0.536,0.819,0.691,"Nao respondeu",NA,"Nao respondeu","Nao respondeu",NA,"Secretaria em conjunto com outras políticas setoriais","Ensino médio (2º Grau) completo","Sim","Não","Não","Não","Sim","Não","-","Não","Sim","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","Parcialmente adaptada","Sim","Não","Medium","Medium","Low","Very High","Medium","Low","High","High",0.0400630135293754
"10"," Norte","Rondônia",11,"GUAJARÁ-MIRIM",110010,1100106,"não",494.69,18279.32,23.47,0.27,62.55," 20.000 up to 50.000","Médio",35207,24856877,0.00167583401567301,6449,0.845184367198003,36.84,9.59,2591,49.28,46174,41656,0.386,0.368,0.467,0.323,0.51,0.54,0.657,0.519,0.823,0.663,"Nao",NA,"Nao possui plano","Nao possui plano",NA,"Setor subordinado a outra secretaria","Ensino superior completo","Não","Não","Sim","Não","Não","Não","-","-","-","-","-","-","-","-","-","-","-","-","-","Não","Não","Medium","Medium","Low","Very High","Medium","Medium","Medium","High",0.0561138302941049
