"UF","Nome da UF","Município","Nome do Município","Município com 6 dígitos","Ano","IVS","IVS Infraestrutura Urbana","IVS Capital Humano","IVS Renda e Trabalho","% de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados","% da população que vive em domicílios urbanos sem o serviço de coleta de lixo","% de pessoas que vivem em domicílios com renda per capita inferior a meio salário mínimo (de 2010) e que gastam mais de uma hora até o trabalho","Prosperidade Social","População ocupada vulnerável à pobreza que retorna diariamente do trabalho","Grau de formalização dos ocupados - 18 anos ou mais"
"11","Rondônia","1100031","Cabixi","110003","2010","0.300","0.128","0.389","0.383","3.31","0.86","4.37","Médio","415","39.38"
"11","Rondônia","1100072","Corumbiara","110007","2010","0.336","0.201","0.427","0.381","6.31","9.81","4.25","Médio","645","43.30"
"11","Rondônia","1100064","Colorado do Oeste","110006","2010","0.280","0.114","0.394","0.333","2.99","7.21","2.18","Alto","939","48.57"
"11","Rondônia","1100924","Chupinguaia","110092","2010","0.338","0.285","0.383","0.347","8.08","12.21","6.79","Médio","441","52.61"
"11","Rondônia","1100304","Vilhena","110030","2010","0.239","0.103","0.339","0.274","1.55","1.99","3.54","Muito Alto","3138","61.81"
"11","Rondônia","1101807","Vale do Paraíso","110180","2010","0.309","0.131","0.438","0.358","5.26","6.26","2.43","Médio","369","27.68"
"11","Rondônia","1101757","Vale do Anari","110175","2010","0.402","0.200","0.526","0.481","22.20","2.28","0.91","Muito Baixo","889","27.88"
"11","Rondônia","1101708","Urupá","110170","2010","0.386","0.194","0.445","0.520","9.73","7.50","3.41","Médio","759","26.21"
"11","Rondônia","1101609","Theobroma","110160","2010","0.352","0.164","0.388","0.505","7.32","6.94","3.03","Baixo","1121","24.00"
"11","Rondônia","1101559","Teixeirópolis","110155","2010","0.299","0.197","0.322","0.377","2.88","18.09","3.00","Alto","351","33.89"
"11","Rondônia","1100320","São Miguel do Guaporé","110032","2010","0.338","0.127","0.466","0.421","9.43","1.48","2.16","Médio","1595","36.51"
"11","Rondônia","1101492","São Francisco do Guaporé","110149","2010","0.429","0.282","0.554","0.451","16.21","15.11","3.16","Baixo","989","30.53"
"11","Rondônia","1101484","São Felipe D'Oeste","110148","2010","0.338","0.159","0.447","0.407","6.69","6.44","3.17","Médio","663","38.19"
"11","Rondônia","1101500","Seringueiras","110150","2010","0.401","0.194","0.447","0.563","15.87","9.97","0.73","Muito Baixo","687","28.32"
"11","Rondônia","1100296","Santa Luzia D'Oeste","110029","2010","0.364","0.254","0.375","0.463","8.09","21.13","3.05","Médio","506","41.20"
"11","Rondônia","1100288","Rolim de Moura","110028","2010","0.264","0.101","0.384","0.308","4.50","1.95","2.49","Muito Alto","2771","55.27"
"11","Rondônia","1100262","Rio Crespo","110026","2010","0.348","0.169","0.459","0.415","8.15","4.18","3.72","Médio","164","42.88"
"11","Rondônia","1101476","Primavera de Rondônia","110147","2010","0.298","0.067","0.364","0.463","7.54","1.75","0.00","Alto","179","45.76"
"11","Rondônia","1100254","Presidente Médici","110025","2010","0.348","0.220","0.423","0.402","9.63","8.32","4.40","Médio","1573","40.50"
"11","Rondônia","1100205","Porto Velho","110020","2010","0.322","0.372","0.364","0.230","17.76","4.33","9.54","Alto","15892","65.48"
"11","Rondônia","1101468","Pimenteiras do Oeste","110146","2010","0.321","0.181","0.463","0.319","10.81","7.28","2.55","Médio","134","43.93"
"11","Rondônia","1100189","Pimenta Bueno","110018","2010","0.241","0.094","0.357","0.272","4.70","2.02","2.10","Muito Alto","1525","66.68"
"11","Rondônia","1101450","Parecis","110145","2010","0.368","0.176","0.495","0.434","9.93","2.67","3.85","Médio","227","37.82"
"11","Rondônia","1100155","Ouro Preto do Oeste","110015","2010","0.263","0.095","0.342","0.353","5.61","3.21","1.54","Alto","1816","44.51"
"11","Rondônia","1100502","Novo Horizonte do Oeste","110050","2010","0.355","0.220","0.388","0.456","8.40","2.23","6.39","Médio","523","30.94"
"11","Rondônia","1101435","Nova União","110143","2010","0.398","0.298","0.384","0.512","11.65","4.52","8.22","Baixo","426","27.77"
"11","Rondônia","1100338","Nova Mamoré","110033","2010","0.474","0.438","0.565","0.420","31.57","21.86","3.23","Muito Baixo","1423","32.82"
"11","Rondônia","1100148","Nova Brasilândia D'Oeste","110014","2010","0.329","0.158","0.382","0.448","9.60","5.16","2.49","Médio","2502","29.12"
"11","Rondônia","1101401","Monte Negro","110140","2010","0.377","0.218","0.501","0.411","9.55","13.95","2.85","Médio","742","41.04"
"11","Rondônia","1101302","Mirante da Serra","110130","2010","0.374","0.213","0.415","0.493","10.98","13.90","2.13","Médio","1296","34.35"
"11","Rondônia","1101203","Ministro Andreazza","110120","2010","0.273","0.035","0.414","0.370","4.71","0.00","0.00","Alto","577","32.54"
"11","Rondônia","1100130","Machadinho D'Oeste","110013","2010","0.434","0.300","0.570","0.433","17.19","8.79","5.35","Muito Baixo","1643","31.93"
