"Tabela 1 - Posição ocupada pelos 100 maiores municípios, em relação ao Produto Interno Bruto ","","","","","","","","","","","","","","","",""
"a preços correntes e participações percentual e acumulada, segundo os municípios ","","","","","","","","","","","","","","","",""
"e as respectivas Unidades da Federação - 2018","","","","","","","","","","","","","","","",""
"","","","","(continua)","","","","","","","","","","","",""
"Municípios e respectivas
Unidades da Federação","Posição ocu-
pada pelos
100 maiores
municípios","Produto Interno Bruto
a preços correntes
(1 000 R$)","Participação (%)","Participação
acumulada (%)","","","","","","","","","","","",""
"São Paulo (SP)","1º","0 000 714 683 362","10.20","10.20","","","","","","","","","","","",""
"Rio de Janeiro (RJ)","2º","0 000 364 052 058","5.20","15.40","","","","","","","","","","","",""
"Brasília (DF)","3º","0 000 254 817 204","3.64","19.04","","","","","","","","","","","",""
"Belo Horizonte (MG)","4º","0 000 091 957 091","1.31","20.35","","","","","","","","","","","",""
"Curitiba (PR)","5º","0 000 087 151 950","1.24","21.60","","","","","","","","","","","",""
"Manaus (AM)","6º","0 000 078 192 321","1.12","22.71","","","","","","","","","","","",""
"Porto Alegre (RS)","7º","0 000 077 134 613","1.10","23.81","","","","","","","","","","","",""
"Osasco (SP)","8º","0 000 076 609 046","1.09","24.91","","","","","","","","","","","",""
"Fortaleza (CE)","9º","0 000 067 024 088","0.96","25.87","","","","","","","","","","","",""
"Salvador (BA)","10º","0 000 063 526 092","0.91","26.77","","","","","","","","","","","",""
"Campinas (SP)","11º","0 000 061 397 262","0.88","27.65","","","","","","","","","","","",""
"Guarulhos (SP)","12º","0 000 061 325 724","0.88","28.52","","","","","","","","","","","",""
"Recife (PE)","13º","0 000 052 401 487","0.75","29.27","","","","","","","","","","","",""
"São Bernardo do Campo (SP)","14º","0 000 050 568 693","0.72","29.99","","","","","","","","","","","",""
"Barueri (SP)","15º","0 000 050 566 643","0.72","30.72","","","","","","","","","","","",""
"Goiânia (GO)","16º","0 000 049 364 257","0.70","31.42","","","","","","","","","","","",""
"Jundiaí (SP)","17º","0 000 043 632 890","0.62","32.04","","","","","","","","","","","",""
"Duque de Caxias (RJ)","18º","0 000 041 595 844","0.59","32.64","","","","","","","","","","","",""
"Niterói (RJ)","19º","0 000 040 356 678","0.58","33.21","","","","","","","","","","","",""
"São José dos Campos (SP)","20º","0 000 039 697 500","0.57","33.78","","","","","","","","","","","",""
"Uberlândia (MG)","21º","0 000 037 442 790","0.53","34.32","","","","","","","","","","","",""
"Sorocaba (SP)","22º","0 000 035 015 188","0.50","34.82","","","","","","","","","","","",""
"Ribeirão Preto (SP)","23º","0 000 034 327 543","0.49","35.31","","","","","","","","","","","",""
"São Luís (MA)","24º","0 000 033 605 800","0.48","35.79","","","","","","","","","","","",""
"Paulínia (SP)","25º","0 000 032 690 878","0.47","36.25","","","","","","","","","","","",""
"Campos dos Goytacazes (RJ)","26º","0 000 032 313 154","0.46","36.71","","","","","","","","","","","",""
"Belém (PA)","27º","0 000 031 484 849","0.45","37.16","","","","","","","","","","","",""
"Joinville (SC)","28º","0 000 030 785 682","0.44","37.60","","","","","","","","","","","",""
"Campo Grande (MS)","29º","0 000 029 177 495","0.42","38.02","","","","","","","","","","","",""
"Santo André (SP)","30º","0 000 028 994 685","0.41","38.43","","","","","","","","","","","",""
"Contagem (MG)","31º","0 000 027 731 702","0.40","38.83","","","","","","","","","","","",""
"Maricá (RJ)","32º","0 000 026 982 458","0.39","39.21","","","","","","","","","","","",""
"Piracicaba (SP)","33º","0 000 026 421 071","0.38","39.59","","","","","","","","","","","",""
"Vitória (ES)","34º","0 000 026 380 111","0.38","39.97","","","","","","","","","","","",""
"Betim (MG)","35º","0 000 025 483 677","0.36","40.33","","","","","","","","","","","",""
"Itajaí (SC)","36º","0 000 025 413 431","0.36","40.69","","","","","","","","","","","",""
"Caxias do Sul (RS)","37º","0 000 024 678 914","0.35","41.05","","","","","","","","","","","",""
"São José dos Pinhais (PR)","38º","0 000 024 104 946","0.34","41.39","","","","","","","","","","","",""
"Camaçari (BA)","39º","0 000 023 822 597","0.34","41.73","","","","","","","","","","","",""
"Natal (RN)","40º","0 000 023 803 672","0.34","42.07","","","","","","","","","","","",""
"Cuiabá (MT)","41º","0 000 023 705 265","0.34","42.41","","","","","","","","","","","",""
"Serra (ES)","42º","0 000 023 118 447","0.33","42.74","","","","","","","","","","","",""
"Santos (SP)","43º","0 000 022 476 976","0.32","43.06","","","","","","","","","","","",""
"Maceió (AL)","44º","0 000 022 400 312","0.32","43.38","","","","","","","","","","","",""
"Florianópolis (SC)","45º","0 000 021 059 561","0.30","43.68","","","","","","","","","","","",""
"Teresina (PI)","46º","0 000 020 961 471","0.30","43.98","","","","","","","","","","","",""
"João Pessoa (PB)","47º","0 000 020 036 726","0.29","44.27","","","","","","","","","","","",""
"Londrina (PR)","48º","0 000 019 954 156","0.28","44.55","","","","","","","","","","","",""
"Canoas (RS)","49º","0 000 019 177 607","0.27","44.82","","","","","","","","","","","",""
